name	taxonomy_id	taxonomy_lvl	14_species.bracken_num	14_species.bracken_frac	17_species.bracken_num	17_species.bracken_frac	19_species.bracken_num	19_species.bracken_frac	20_species.bracken_num	20_species.bracken_frac	2126_species.bracken_num	2126_species.bracken_frac	22a_species.bracken_num	22a_species.bracken_frac	22b_species.bracken_num	22b_species.bracken_frac	25_species.bracken_num	25_species.bracken_frac	2621_species.bracken_num	2621_species.bracken_frac	27_species.bracken_num	27_species.bracken_frac	Stan_species.bracken_num	Stan_species.bracken_frac
Aerococcus urinaeequi	51665	S	140	0.00001	147	0.00001	47	0.00000	139	0.00000	61	0.00001	30	0.00000	79	0.00000	135	0.00001	69	0.00000	39	0.00000	65	0.00001
Aerococcus urinaehominis	128944	S	111	0.00000	141	0.00001	135	0.00001	347	0.00001	60	0.00001	43	0.00001	99	0.00000	120	0.00001	338	0.00002	59	0.00000	97	0.00001
Aerococcus viridans	1377	S	89	0.00000	341	0.00002	61	0.00000	244	0.00001	23	0.00000	33	0.00000	99	0.00000	79	0.00001	109	0.00001	65	0.00001	51	0.00001
Abiotrophia defectiva	46125	S	413	0.00002	492	0.00002	161	0.00001	721	0.00002	139	0.00002	86	0.00001	201	0.00001	353	0.00002	317	0.00002	207	0.00002	163	0.00002
Suicoccus acidiformans	2036206	S	98	0.00000	247	0.00001	101	0.00000	247	0.00001	43	0.00000	43	0.00001	135	0.00001	162	0.00001	175	0.00001	63	0.00000	46	0.00000
Bacillus sp. FJAT-42376	2014076	S	526	0.00002	539	0.00002	367	0.00002	666	0.00002	333	0.00004	312	0.00004	682	0.00003	758	0.00005	560	0.00004	266	0.00002	245	0.00002
Bacillus sp. NSP9.1	1071078	S	476	0.00002	852	0.00004	265	0.00001	855	0.00003	160	0.00002	90	0.00001	288	0.00001	489	0.00003	507	0.00003	319	0.00002	210	0.00002
Bacillus sp. DSL-17	2567941	S	449	0.00002	487	0.00002	178	0.00001	984	0.00003	130	0.00001	153	0.00002	379	0.00002	421	0.00003	272	0.00002	296	0.00002	131	0.00001
Bacillus sp. KH172YL63	2709784	S	363	0.00001	378	0.00002	240	0.00001	395	0.00001	171	0.00002	100	0.00001	218	0.00001	387	0.00003	361	0.00002	233	0.00002	129	0.00001
Bacillus sp. SB49	1071080	S	353	0.00001	444	0.00002	286	0.00001	412	0.00001	190	0.00002	246	0.00003	552	0.00003	321	0.00002	274	0.00002	205	0.00002	145	0.00001
Bacillus sp. FJAT-18017	1705566	S	345	0.00001	521	0.00002	272	0.00001	406	0.00001	215	0.00002	233	0.00003	524	0.00003	263	0.00002	386	0.00003	329	0.00003	201	0.00002
Bacillus sp. N1-1	2682541	S	379	0.00002	209	0.00001	168	0.00001	727	0.00002	133	0.00002	113	0.00001	284	0.00001	493	0.00003	247	0.00002	119	0.00001	91	0.00001
Bacillus sp. Y1	352858	S	262	0.00001	450	0.00002	107	0.00000	334	0.00001	115	0.00001	153	0.00002	321	0.00002	398	0.00003	223	0.00002	296	0.00002	121	0.00001
Bacillus sp. PAMC26568	2760090	S	241	0.00001	351	0.00002	128	0.00001	319	0.00001	50	0.00001	90	0.00001	206	0.00001	354	0.00002	203	0.00001	317	0.00002	64	0.00001
Bacillus sp. S3	486398	S	237	0.00001	460	0.00002	172	0.00001	359	0.00001	133	0.00002	64	0.00001	190	0.00001	428	0.00003	168	0.00001	106	0.00001	140	0.00001
Bacillus sp. X1(2014)	1565991	S	244	0.00001	386	0.00002	207	0.00001	430	0.00001	112	0.00001	146	0.00002	372	0.00002	194	0.00001	274	0.00002	250	0.00002	134	0.00001
Bacillus sp. THAF10	2587848	S	227	0.00001	406	0.00002	138	0.00001	146	0.00000	121	0.00001	119	0.00001	313	0.00002	185	0.00001	187	0.00001	132	0.00001	126	0.00001
Bacillus sp. FJAT-45348	2011012	S	194	0.00001	289	0.00001	171	0.00001	243	0.00001	78	0.00001	76	0.00001	164	0.00001	212	0.00001	162	0.00001	167	0.00001	110	0.00001
Bacillus sp. 1NLA3E	666686	S	196	0.00001	480	0.00002	100	0.00000	180	0.00001	51	0.00001	67	0.00001	198	0.00001	174	0.00001	151	0.00001	296	0.00002	55	0.00001
Bacillus sp. Cs-700	2589818	S	244	0.00001	215	0.00001	148	0.00001	533	0.00002	93	0.00001	83	0.00001	209	0.00001	339	0.00002	186	0.00001	182	0.00001	163	0.00002
Bacillus sp. M4U3P1	2592382	S	185	0.00001	282	0.00001	123	0.00001	311	0.00001	29	0.00000	44	0.00001	158	0.00001	303	0.00002	142	0.00001	49	0.00000	90	0.00001
Bacillus sp. FJAT-22090	1581038	S	192	0.00001	260	0.00001	135	0.00001	424	0.00001	66	0.00001	80	0.00001	222	0.00001	272	0.00002	258	0.00002	118	0.00001	93	0.00001
Bacillus sp. OxB-1	98228	S	165	0.00001	324	0.00001	230	0.00001	277	0.00001	80	0.00001	42	0.00000	103	0.00001	148	0.00001	202	0.00001	114	0.00001	94	0.00001
Bacillus sp. CS13	2728853	S	95	0.00000	354	0.00002	74	0.00000	213	0.00001	89	0.00001	52	0.00001	129	0.00001	95	0.00001	83	0.00001	64	0.00000	53	0.00001
Bacillus sp. WP8	756828	S	117	0.00000	115	0.00001	57	0.00000	117	0.00000	53	0.00001	101	0.00001	234	0.00001	46	0.00000	114	0.00001	38	0.00000	49	0.00000
Bacillus sp. HD4P25	2779776	S	81	0.00000	374	0.00002	126	0.00001	177	0.00001	75	0.00001	89	0.00001	207	0.00001	116	0.00001	164	0.00001	127	0.00001	135	0.00001
Bacillus sp. BD59S	2499213	S	49	0.00000	22	0.00000	4	0.00000	11	0.00000	7	0.00000	8	0.00000	19	0.00000	12	0.00000	38	0.00000	16	0.00000	10	0.00000
Bacillus sp. MD-5	2009331	S	128	0.00001	304	0.00001	73	0.00000	24	0.00000	22	0.00000	6	0.00000	27	0.00000	32	0.00000	43	0.00000	80	0.00001	30	0.00000
Bacillus sp. ms-22	2683680	S	21	0.00000	38	0.00000	36	0.00000	13	0.00000	33	0.00000	5	0.00000	47	0.00000	144	0.00001	38	0.00000	55	0.00000	16	0.00000
Bacillus sp. A260	2660750	S	58	0.00000	31	0.00000	4	0.00000	2	0.00000	5	0.00000	0	0.00000	12	0.00000	5	0.00000	0	0.00000	86	0.00001	0	0.00000
Bacillus sp. JS	1127744	S	31	0.00000	40	0.00000	21	0.00000	8	0.00000	13	0.00000	0	0.00000	0	0.00000	6	0.00000	7	0.00000	36	0.00000	0	0.00000
Bacillus sp. IHB B 7164	1827146	S	65	0.00000	25	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00000
Bacillus sp. SYJ	2529386	S	9	0.00000	3	0.00000	1	0.00000	11	0.00000	0	0.00000	1	0.00000	21	0.00000	0	0.00000	0	0.00000	14	0.00000	5	0.00000
Bacillus sp. N3536	2666127	S	35	0.00000	92	0.00000	94	0.00000	363	0.00001	114	0.00001	0	0.00000	6	0.00000	62	0.00000	118	0.00001	34	0.00000	102	0.00001
Bacillus sp. PAMC26543	2762329	S	4	0.00000	29	0.00000	18	0.00000	23	0.00000	3	0.00000	4	0.00000	14	0.00000	24	0.00000	17	0.00000	25	0.00000	5	0.00000
Bacillus sp. BS98	2608254	S	3	0.00000	17	0.00000	40	0.00000	21	0.00000	48	0.00001	16	0.00000	73	0.00000	6	0.00000	70	0.00000	6	0.00000	21	0.00000
Bacillus cereus	1396	S	1873	0.00008	3040	0.00014	1097	0.00005	1974	0.00006	1032	0.00012	980	0.00012	2379	0.00012	1741	0.00012	1648	0.00011	1243	0.00010	991	0.00010
Bacillus thuringiensis	1428	S	1176	0.00005	3640	0.00017	1656	0.00008	12117	0.00035	780	0.00009	1074	0.00013	1665	0.00008	2958	0.00020	2008	0.00014	1406	0.00011	2041	0.00020
Bacillus pseudomycoides	64104	S	260	0.00001	256	0.00001	146	0.00001	396	0.00001	54	0.00001	126	0.00001	296	0.00001	126	0.00001	223	0.00002	140	0.00001	115	0.00001
Bacillus luti	2026191	S	170	0.00001	78	0.00000	70	0.00000	195	0.00001	87	0.00001	44	0.00001	94	0.00000	256	0.00002	98	0.00001	62	0.00000	58	0.00001
Bacillus cytotoxicus	580165	S	133	0.00001	314	0.00001	265	0.00001	268	0.00001	106	0.00001	90	0.00001	246	0.00001	277	0.00002	203	0.00001	426	0.00003	132	0.00001
Bacillus mycoides	1405	S	120	0.00000	187	0.00001	61	0.00000	185	0.00001	51	0.00001	38	0.00000	85	0.00000	89	0.00001	79	0.00001	109	0.00001	84	0.00001
Bacillus wiedmannii	1890302	S	100	0.00000	115	0.00001	21	0.00000	22	0.00000	5	0.00000	15	0.00000	35	0.00000	22	0.00000	80	0.00001	15	0.00000	12	0.00000
Bacillus albus	2026189	S	48	0.00000	48	0.00000	36	0.00000	151	0.00000	11	0.00000	28	0.00000	66	0.00000	114	0.00001	104	0.00001	23	0.00000	15	0.00000
Bacillus sp. FDAARGOS_235	1839798	S	100	0.00000	3	0.00000	12	0.00000	11	0.00000	0	0.00000	23	0.00000	54	0.00000	4	0.00000	0	0.00000	47	0.00000	3	0.00000
Bacillus sp. HBCD-sjtu	2053832	S	31	0.00000	31	0.00000	2	0.00000	0	0.00000	0	0.00000	8	0.00000	32	0.00000	2	0.00000	0	0.00000	22	0.00000	0	0.00000
Bacillus sp. ABP14	1892404	S	2	0.00000	5	0.00000	3	0.00000	10	0.00000	0	0.00000	0	0.00000	2	0.00000	12	0.00000	28	0.00000	4	0.00000	0	0.00000
Bacillus paranthracis	2026186	S	140	0.00001	95	0.00000	33	0.00000	44	0.00000	76	0.00001	44	0.00001	121	0.00001	40	0.00000	53	0.00000	30	0.00000	13	0.00000
Bacillus anthracis	1392	S	791	0.00003	2136	0.00010	78	0.00000	47	0.00000	16	0.00000	53	0.00001	1312	0.00006	225	0.00002	699	0.00005	29	0.00000	165	0.00002
Bacillus toyonensis	155322	S	35	0.00000	73	0.00000	0	0.00000	13	0.00000	15	0.00000	0	0.00000	8	0.00000	0	0.00000	0	0.00000	0	0.00000	5	0.00000
Bacillus bombysepticus	658666	S	15	0.00000	20	0.00000	0	0.00000	91	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	7	0.00000	7	0.00000	4	0.00000
Bacillus subtilis	1423	S	3414	0.00014	2857	0.00013	907	0.00004	2183	0.00006	1266	0.00014	782	0.00009	2328	0.00011	2236	0.00015	2576	0.00017	1017	0.00008	729	0.00007
Bacillus amyloliquefaciens	1390	S	969	0.00004	3424	0.00016	721	0.00003	1385	0.00004	284	0.00003	374	0.00004	647	0.00003	923	0.00006	759	0.00005	912	0.00007	341	0.00003
Bacillus velezensis	492670	S	1111	0.00005	3673	0.00017	719	0.00003	456	0.00001	413	0.00005	464	0.00005	1303	0.00006	1068	0.00007	828	0.00006	2197	0.00017	344	0.00003
Bacillus paralicheniformis	1648923	S	447	0.00002	375	0.00002	174	0.00001	275	0.00001	151	0.00002	154	0.00002	372	0.00002	407	0.00003	260	0.00002	129	0.00001	163	0.00002
Bacillus tequilensis	227866	S	190	0.00001	155	0.00001	103	0.00000	225	0.00001	79	0.00001	35	0.00000	104	0.00001	87	0.00001	133	0.00001	101	0.00001	74	0.00001
Bacillus sonorensis	119858	S	148	0.00001	340	0.00002	148	0.00001	298	0.00001	87	0.00001	119	0.00001	275	0.00001	184	0.00001	191	0.00001	257	0.00002	99	0.00001
Bacillus mojavensis	72360	S	130	0.00001	345	0.00002	126	0.00001	200	0.00001	95	0.00001	72	0.00001	156	0.00001	225	0.00002	240	0.00002	140	0.00001	83	0.00001
Bacillus halotolerans	260554	S	6	0.00000	36	0.00000	19	0.00000	26	0.00000	2	0.00000	0	0.00000	12	0.00000	0	0.00000	24	0.00000	6	0.00000	3	0.00000
Bacillus vallismortis	72361	S	136	0.00001	407	0.00002	193	0.00001	250	0.00001	165	0.00002	192	0.00002	439	0.00002	201	0.00001	318	0.00002	113	0.00001	133	0.00001
Bacillus atrophaeus	1452	S	69	0.00000	293	0.00001	99	0.00000	161	0.00000	34	0.00000	42	0.00000	122	0.00001	137	0.00001	651	0.00004	88	0.00001	80	0.00001
Bacillus licheniformis	1402	S	20	0.00000	459	0.00002	113	0.00001	386	0.00001	136	0.00002	56	0.00001	202	0.00001	33	0.00000	382	0.00003	140	0.00001	124	0.00001
Bacillus pumilus	1408	S	1488	0.00006	866	0.00004	383	0.00002	1157	0.00003	448	0.00005	418	0.00005	892	0.00004	618	0.00004	737	0.00005	507	0.00004	337	0.00003
Bacillus megaterium	1404	S	1302	0.00005	1367	0.00006	465	0.00002	1429	0.00004	330	0.00004	408	0.00005	944	0.00005	1275	0.00009	872	0.00006	614	0.00005	424	0.00004
Bacillus infantis	324767	S	697	0.00003	903	0.00004	411	0.00002	1108	0.00003	315	0.00004	413	0.00005	974	0.00005	873	0.00006	725	0.00005	386	0.00003	256	0.00003
Bacillus ciccensis	1670641	S	600	0.00002	315	0.00001	242	0.00001	568	0.00002	131	0.00001	140	0.00002	344	0.00002	387	0.00003	330	0.00002	229	0.00002	121	0.00001
Bacillus marisflavi	189381	S	533	0.00002	748	0.00003	350	0.00002	685	0.00002	288	0.00003	331	0.00004	729	0.00004	549	0.00004	564	0.00004	294	0.00002	246	0.00002
Bacillus dafuensis	1742359	S	496	0.00002	527	0.00002	166	0.00001	768	0.00002	168	0.00002	120	0.00001	243	0.00001	587	0.00004	291	0.00002	209	0.00002	145	0.00001
Bacillus circulans	1397	S	455	0.00002	989	0.00005	308	0.00001	719	0.00002	278	0.00003	269	0.00003	721	0.00004	612	0.00004	406	0.00003	451	0.00003	240	0.00002
Bacillus glycinifermentans	1664069	S	446	0.00002	965	0.00004	315	0.00001	1020	0.00003	255	0.00003	215	0.00003	585	0.00003	395	0.00003	504	0.00003	414	0.00003	243	0.00002
Bacillus flexus	86664	S	414	0.00002	320	0.00001	132	0.00001	303	0.00001	66	0.00001	96	0.00001	266	0.00001	298	0.00002	230	0.00002	197	0.00002	87	0.00001
Bacillus coagulans	1398	S	379	0.00002	1015	0.00005	387	0.00002	918	0.00003	263	0.00003	214	0.00003	531	0.00003	405	0.00003	704	0.00005	363	0.00003	260	0.00003
Bacillus lentus	1467	S	358	0.00001	317	0.00001	118	0.00001	330	0.00001	125	0.00001	133	0.00002	211	0.00001	308	0.00002	195	0.00001	130	0.00001	117	0.00001
Bacillus filamentosus	1402861	S	358	0.00001	312	0.00001	187	0.00001	403	0.00001	80	0.00001	131	0.00002	354	0.00002	199	0.00001	191	0.00001	193	0.00001	97	0.00001
Bacillus thermoamylovorans	35841	S	397	0.00002	476	0.00002	207	0.00001	503	0.00001	107	0.00001	98	0.00001	276	0.00001	225	0.00002	210	0.00001	287	0.00002	151	0.00001
Bacillus weihaiensis	1547283	S	340	0.00001	248	0.00001	215	0.00001	432	0.00001	79	0.00001	56	0.00001	176	0.00001	253	0.00002	217	0.00001	194	0.00001	121	0.00001
Bacillus horikoshii	79883	S	314	0.00001	368	0.00002	170	0.00001	598	0.00002	151	0.00002	185	0.00002	362	0.00002	301	0.00002	267	0.00002	256	0.00002	123	0.00001
Bacillus vietnamensis	218284	S	307	0.00001	777	0.00004	243	0.00001	477	0.00001	157	0.00002	268	0.00003	673	0.00003	178	0.00001	341	0.00002	235	0.00002	152	0.00001
Bacillus beveridgei	632773	S	282	0.00001	752	0.00003	161	0.00001	555	0.00002	147	0.00002	87	0.00001	294	0.00001	309	0.00002	341	0.00002	260	0.00002	176	0.00002
Bacillus gobiensis	1441095	S	274	0.00001	432	0.00002	134	0.00001	376	0.00001	97	0.00001	62	0.00001	189	0.00001	365	0.00002	237	0.00002	260	0.00002	200	0.00002
Bacillus cohnii	33932	S	259	0.00001	339	0.00002	67	0.00000	284	0.00001	95	0.00001	89	0.00001	183	0.00001	111	0.00001	159	0.00001	355	0.00003	86	0.00001
Bacillus cellulosilyticus	1413	S	251	0.00001	463	0.00002	157	0.00001	331	0.00001	114	0.00001	233	0.00003	448	0.00002	332	0.00002	271	0.00002	283	0.00002	111	0.00001
Bacillus methanolicus	1471	S	253	0.00001	354	0.00002	140	0.00001	292	0.00001	122	0.00001	99	0.00001	233	0.00001	216	0.00001	205	0.00001	272	0.00002	110	0.00001
Bacillus smithii	1479	S	266	0.00001	368	0.00002	216	0.00001	362	0.00001	161	0.00002	157	0.00002	372	0.00002	465	0.00003	312	0.00002	140	0.00001	137	0.00001
Bacillus miscanthi	2598861	S	206	0.00001	271	0.00001	75	0.00000	231	0.00001	47	0.00001	74	0.00001	140	0.00001	98	0.00001	148	0.00001	115	0.00001	76	0.00001
Bacillus haynesii	1925021	S	165	0.00001	249	0.00001	46	0.00000	217	0.00001	49	0.00001	30	0.00000	81	0.00000	45	0.00000	101	0.00001	65	0.00001	49	0.00000
Bacillus freudenreichii	1783501	S	147	0.00001	426	0.00002	160	0.00001	273	0.00001	67	0.00001	75	0.00001	224	0.00001	284	0.00002	266	0.00002	185	0.00001	106	0.00001
Bacillus safensis	561879	S	166	0.00001	155	0.00001	144	0.00001	288	0.00001	59	0.00001	48	0.00001	112	0.00001	197	0.00001	99	0.00001	78	0.00001	67	0.00001
Bacillus altitudinis	293387	S	180	0.00001	311	0.00001	92	0.00000	263	0.00001	89	0.00001	58	0.00001	175	0.00001	311	0.00002	225	0.00002	237	0.00002	68	0.00001
Bacillus xiamenensis	1178537	S	116	0.00000	74	0.00000	44	0.00000	20	0.00000	10	0.00000	2	0.00000	13	0.00000	0	0.00000	4	0.00000	5	0.00000	19	0.00000
[Brevibacterium] frigoritolerans	450367	S	93	0.00000	168	0.00001	40	0.00000	161	0.00000	26	0.00000	106	0.00001	216	0.00001	179	0.00001	163	0.00001	43	0.00000	31	0.00000
Bacillus intestinalis	1963032	S	530	0.00002	67	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	202	0.00001	0	0.00000	0	0.00000	0	0.00000
Virgibacillus sp. Bac332	2419842	S	412	0.00002	364	0.00002	153	0.00001	291	0.00001	104	0.00001	72	0.00001	180	0.00001	328	0.00002	204	0.00001	86	0.00001	84	0.00001
Virgibacillus sp. 6R	1911587	S	399	0.00002	331	0.00002	157	0.00001	316	0.00001	90	0.00001	141	0.00002	342	0.00002	194	0.00001	124	0.00001	161	0.00001	85	0.00001
Virgibacillus sp. MSP4-1	2700081	S	352	0.00001	411	0.00002	162	0.00001	557	0.00002	122	0.00001	94	0.00001	224	0.00001	351	0.00002	228	0.00002	210	0.00002	114	0.00001
Virgibacillus sp. Bac330	2419841	S	421	0.00002	149	0.00001	122	0.00001	299	0.00001	74	0.00001	87	0.00001	178	0.00001	262	0.00002	120	0.00001	138	0.00001	76	0.00001
Virgibacillus sp. SK37	403957	S	226	0.00001	260	0.00001	81	0.00000	424	0.00001	81	0.00001	88	0.00001	188	0.00001	244	0.00002	180	0.00001	149	0.00001	148	0.00001
Virgibacillus necropolis	163877	S	190	0.00001	396	0.00002	149	0.00001	238	0.00001	72	0.00001	107	0.00001	304	0.00001	217	0.00001	198	0.00001	144	0.00001	119	0.00001
Virgibacillus phasianinus	2017483	S	174	0.00001	327	0.00002	146	0.00001	219	0.00001	55	0.00001	83	0.00001	195	0.00001	110	0.00001	198	0.00001	133	0.00001	106	0.00001
Virgibacillus halodenitrificans	1482	S	211	0.00001	322	0.00001	157	0.00001	252	0.00001	128	0.00001	85	0.00001	293	0.00001	137	0.00001	186	0.00001	184	0.00001	111	0.00001
Virgibacillus dokdonensis	302167	S	73	0.00000	496	0.00002	58	0.00000	127	0.00000	18	0.00000	19	0.00000	48	0.00000	66	0.00000	85	0.00001	70	0.00001	81	0.00001
Lysinibacillus sp. 2017	2169540	S	539	0.00002	319	0.00001	150	0.00001	436	0.00001	115	0.00001	211	0.00002	414	0.00002	266	0.00002	240	0.00002	205	0.00002	134	0.00001
Lysinibacillus sp. SGAir0095	2070463	S	178	0.00001	204	0.00001	177	0.00001	163	0.00000	158	0.00002	188	0.00002	380	0.00002	171	0.00001	283	0.00002	235	0.00002	83	0.00001
Lysinibacillus sp. YS11	2072025	S	180	0.00001	258	0.00001	91	0.00000	231	0.00001	50	0.00001	56	0.00001	184	0.00001	164	0.00001	151	0.00001	307	0.00002	89	0.00001
Lysinibacillus timonensis	2086577	S	299	0.00001	267	0.00001	136	0.00001	334	0.00001	136	0.00002	96	0.00001	246	0.00001	399	0.00003	255	0.00002	130	0.00001	76	0.00001
Lysinibacillus sphaericus	1421	S	418	0.00002	644	0.00003	177	0.00001	447	0.00001	88	0.00001	117	0.00001	274	0.00001	319	0.00002	252	0.00002	169	0.00001	204	0.00002
Lysinibacillus fusiformis	28031	S	178	0.00001	329	0.00002	188	0.00001	359	0.00001	32	0.00000	107	0.00001	391	0.00002	176	0.00001	240	0.00002	326	0.00003	131	0.00001
Lysinibacillus varians	1145276	S	91	0.00000	203	0.00001	29	0.00000	151	0.00000	86	0.00001	41	0.00000	52	0.00000	104	0.00001	67	0.00000	12	0.00000	45	0.00000
Geobacillus sp. 44B	1963023	S	255	0.00001	300	0.00001	94	0.00000	278	0.00001	66	0.00001	52	0.00001	124	0.00001	218	0.00001	156	0.00001	150	0.00001	63	0.00001
Geobacillus sp. 46C-IIa	1963025	S	98	0.00000	233	0.00001	73	0.00000	119	0.00000	15	0.00000	54	0.00001	87	0.00000	110	0.00001	77	0.00001	62	0.00000	63	0.00001
Geobacillus sp. C56-T3	691437	S	89	0.00000	184	0.00001	0	0.00000	9	0.00000	0	0.00000	8	0.00000	60	0.00000	5	0.00000	5	0.00000	25	0.00000	0	0.00000
Geobacillus sp. Y4.1MC1	581103	S	677	0.00003	701	0.00003	505	0.00002	152	0.00000	260	0.00003	291	0.00003	880	0.00004	576	0.00004	493	0.00003	225	0.00002	114	0.00001
Geobacillus sp. JS12	1813182	S	36	0.00000	147	0.00001	11	0.00000	2	0.00000	8	0.00000	58	0.00001	130	0.00001	0	0.00000	13	0.00000	17	0.00000	7	0.00000
Geobacillus sp. WCH70	471223	S	153	0.00001	127	0.00001	188	0.00001	45	0.00000	30	0.00000	25	0.00000	120	0.00001	325	0.00002	103	0.00001	119	0.00001	110	0.00001
Geobacillus sp. 44C	1963024	S	169	0.00001	137	0.00001	69	0.00000	100	0.00000	80	0.00001	30	0.00000	70	0.00000	288	0.00002	114	0.00001	31	0.00000	47	0.00000
Geobacillus sp. E263	391290	S	75	0.00000	148	0.00001	134	0.00001	100	0.00000	127	0.00001	166	0.00002	517	0.00003	177	0.00001	179	0.00001	97	0.00001	120	0.00001
Geobacillus sp. 47C-IIb	1963026	S	29	0.00000	22	0.00000	91	0.00000	8	0.00000	14	0.00000	0	0.00000	0	0.00000	300	0.00002	67	0.00000	80	0.00001	23	0.00000
Geobacillus subterraneus	129338	S	310	0.00001	1016	0.00005	281	0.00001	471	0.00001	191	0.00002	189	0.00002	481	0.00002	270	0.00002	452	0.00003	281	0.00002	156	0.00002
Geobacillus genomosp. 3	1921421	S	224	0.00001	456	0.00002	221	0.00001	198	0.00001	48	0.00001	46	0.00001	123	0.00001	83	0.00001	160	0.00001	273	0.00002	75	0.00001
Geobacillus thermoleovorans	33941	S	284	0.00001	547	0.00003	245	0.00001	645	0.00002	160	0.00002	71	0.00001	173	0.00001	335	0.00002	424	0.00003	178	0.00001	318	0.00003
Geobacillus thermocatenulatus	33938	S	42	0.00000	267	0.00001	70	0.00000	17	0.00000	7	0.00000	10	0.00000	32	0.00000	30	0.00000	46	0.00000	29	0.00000	33	0.00000
Geobacillus kaustophilus	1462	S	22	0.00000	200	0.00001	8	0.00000	0	0.00000	0	0.00000	89	0.00001	160	0.00001	0	0.00000	49	0.00000	0	0.00000	4	0.00000
Geobacillus thermodenitrificans	33940	S	183	0.00001	490	0.00002	264	0.00001	473	0.00001	8	0.00000	23	0.00000	54	0.00000	72	0.00000	40	0.00000	122	0.00001	102	0.00001
Geobacillus stearothermophilus	1422	S	97	0.00000	638	0.00003	174	0.00001	138	0.00000	63	0.00001	43	0.00001	91	0.00000	152	0.00001	128	0.00001	378	0.00003	77	0.00001
Geobacillus zalihae	213419	S	18	0.00000	31	0.00000	94	0.00000	10	0.00000	15	0.00000	0	0.00000	5	0.00000	51	0.00000	4	0.00000	27	0.00000	4	0.00000
Alkalihalobacillus pseudofirmus	79885	S	477	0.00002	269	0.00001	127	0.00001	334	0.00001	124	0.00001	112	0.00001	285	0.00001	222	0.00001	232	0.00002	136	0.00001	125	0.00001
Alkalihalobacillus clausii	79880	S	243	0.00001	443	0.00002	109	0.00001	211	0.00001	135	0.00002	81	0.00001	178	0.00001	118	0.00001	241	0.00002	238	0.00002	111	0.00001
Alkalihalobacillus krulwichiae	199441	S	205	0.00001	305	0.00001	99	0.00000	239	0.00001	85	0.00001	69	0.00001	178	0.00001	227	0.00002	207	0.00001	208	0.00002	85	0.00001
Alkalihalobacillus lehensis	300825	S	234	0.00001	243	0.00001	109	0.00001	288	0.00001	72	0.00001	75	0.00001	186	0.00001	189	0.00001	162	0.00001	80	0.00001	119	0.00001
Alkalihalobacillus halodurans	86665	S	164	0.00001	207	0.00001	92	0.00000	307	0.00001	80	0.00001	81	0.00001	236	0.00001	226	0.00002	190	0.00001	129	0.00001	102	0.00001
Mesobacillus jeotgali	129985	S	702	0.00003	716	0.00003	259	0.00001	626	0.00002	175	0.00002	161	0.00002	404	0.00002	462	0.00003	326	0.00002	314	0.00002	176	0.00002
Mesobacillus foraminis	279826	S	496	0.00002	617	0.00003	255	0.00001	526	0.00002	245	0.00003	183	0.00002	477	0.00002	545	0.00004	519	0.00004	278	0.00002	183	0.00002
Cytobacillus oceanisediminis	665099	S	691	0.00003	772	0.00004	426	0.00002	820	0.00002	227	0.00003	315	0.00004	731	0.00004	537	0.00004	584	0.00004	389	0.00003	237	0.00002
Cytobacillus kochii	859143	S	477	0.00002	316	0.00001	141	0.00001	341	0.00001	174	0.00002	94	0.00001	255	0.00001	221	0.00001	152	0.00001	191	0.00001	84	0.00001
Oceanobacillus iheyensis	182710	S	439	0.00002	621	0.00003	258	0.00001	454	0.00001	141	0.00002	124	0.00001	280	0.00001	467	0.00003	241	0.00002	356	0.00003	175	0.00002
Oceanobacillus sp. 160	2052660	S	390	0.00002	345	0.00002	148	0.00001	371	0.00001	115	0.00001	176	0.00002	380	0.00002	149	0.00001	197	0.00001	270	0.00002	113	0.00001
Oceanobacillus kimchii	746691	S	156	0.00001	340	0.00002	121	0.00001	198	0.00001	84	0.00001	58	0.00001	191	0.00001	148	0.00001	252	0.00002	139	0.00001	99	0.00001
Anoxybacillus sp. PDR2	1636720	S	317	0.00001	312	0.00001	205	0.00001	567	0.00002	190	0.00002	170	0.00002	393	0.00002	293	0.00002	357	0.00002	168	0.00001	119	0.00001
Anoxybacillus flavithermus	33934	S	1005	0.00004	577	0.00003	382	0.00002	1101	0.00003	555	0.00006	308	0.00004	829	0.00004	646	0.00004	507	0.00003	356	0.00003	342	0.00003
Anoxybacillus amylolyticus	294699	S	163	0.00001	333	0.00002	84	0.00000	254	0.00001	42	0.00000	59	0.00001	134	0.00001	86	0.00001	179	0.00001	121	0.00001	68	0.00001
Anoxybacillus caldiproteolyticus	247480	S	127	0.00001	493	0.00002	113	0.00001	165	0.00000	43	0.00000	214	0.00003	484	0.00002	288	0.00002	218	0.00001	148	0.00001	70	0.00001
Anoxybacillus kamchatkensis	196180	S	26	0.00000	68	0.00000	63	0.00000	46	0.00000	22	0.00000	42	0.00000	81	0.00000	122	0.00001	31	0.00000	203	0.00002	9	0.00000
Peribacillus asahii	228899	S	294	0.00001	295	0.00001	156	0.00001	285	0.00001	152	0.00002	129	0.00002	299	0.00001	180	0.00001	237	0.00002	120	0.00001	115	0.00001
